Europe,Northern Europe,Iceland,UN-CTS,109,115,119,119,115,140,148,167,150,153,152,154,,124,,37.9,39.5,40.3,39.7,37.7,45.0,46.8,52.1,46.4,47.0,46.5,46.9,,37.3
Asia,Southern Asia,India,UN-CTS/WPB-ICPR,313635,331391,358368,373271,376396,384753,376969,368998,372926,385135,411992,418536,419623,,,28.3,29.4,31.3,32.1,31.9,32.1,31.0,30.0,29.9,30.5,32.2,32.3,32.1,
Asia,South-Eastern Asia,Indonesia,UN-CTS/WPB-ICPR,84357,87185,97691,116688,,137144,,117863,,156446,160061,159964,173572,202621,,38.2,39.0,43.1,50.8,,58.1,,48.6,,62.9,63.5,62.7,67.2,77.6
Asia,Southern Asia,Iran (Islamic Republic of),WPB-ICPR,157267,,134384,,148843,,168516,,250000,,226220,225624,,,,228.5,,190.8,,206.6,,228.7,,331.2,,292.1,287.7,,
Asia,Western Asia,Iraq (Central Iraq),UN-CTS,,,,,,16767,20104,24965,26369,31187,30499,,,,,,,,,,67.5,78.7,94.9,97.1,111.1,105.0,,,
Europe,Northern Europe,Ireland,UN-CTS,3234,3162,3022,3080,3253,3484,3868,4318,4216,4287,4088,3777,3755,3716,,79.9,76.6,71.7,71.6,74.0,77.6,84.7,93.3,90.4,91.6,87.3,80.6,79.9,78.4
Europe,Northern Europe,Isle of Man,WPB-ICPR,,51,,76,,107,,97,,81,,,,76,,,67.7,,98.8,,136.2,,121.1,,99.5,,,,90.8
Asia,Western Asia,Israel,UN-CTS,12228,13909,16055,20617,21949,21905,,20191,18967,20291,18610,20781,,,,192.6,215.0,243.1,305.2,317.1,308.6,,271.9,250.6,263.6,237.9,261.7,,
Europe,Southern Europe,Italy,UN-CTS,54993,56903,60415,39794,49697,59284,65598,69263,68325,67102,63848,54745,53410,,,94.6,97.3,102.7,67.4,83.8,99.6,110.0,116.0,114.3,112.3,107.0,91.9,89.8,
Americas,Caribbean,Jamaica,UN-CTS/WPB-ICPR,4744,,4825,4913,4709,,5163,,4457,4364,4112,4034,3854,3799,,174.9,,175.8,178.0,169.7,,184.1,,157.5,153.6,144.2,140.9,134.2,131.9
Asia,Eastern Asia,Japan,UN-CTS,73734,76413,79055,81255,79809,76881,75250,72975,69876,67008,62971,60486,58497,55967,,57.6,59.6,61.6,63.3,62.1,59.8,58.5,56.8,54.4,52.2,49.1,47.2,45.7,43.8
Europe,Northern Europe,Jersey,WPB-ICPR,,170,,174,,181,,177,,157,,,,140,,,,,,,,,,,,,,,
Asia,Western Asia,Jordan,UN-CTS/WPB-ICPR,,,6378,6166,6633,7077,7206,8434,6262,7714,8000,10089,11489,,,,,111.6,103.9,107.1,109.0,105.6,117.4,82.7,96.5,95.1,114.5,125.4,
Asia,Central Asia,Kazakhstan,UN-CTS,,,52203,51544,,48270,50495,55140,49401,45335,42052,43220,42114,,,,,335.9,328.5,,301.7,312.0,336.2,296.7,267.9,244.4,247.1,237.3,
