,Compound,Date,Negative,Network,Neutral,Positive,Text,Tweets Ago
96,0.0,Tue Oct 02 03:07:13 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@pan_bot Analyze:@WSJ,17
97,0.0,Tue Oct 02 02:52:38 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@NB_ED4ever perform voodoo on @BBC,18
98,0.0,Mon Oct 01 22:01:15 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@peter_pan_daz Analyze:@BBC,19
99,0.0,Mon Oct 01 22:00:38 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@peter_pan_daz A message from your local dispenser.,20
100,0.4019,Mon Oct 01 22:00:10 +0000 2018,0.426,@CO2_Dispenser,0.0,0.574,@stefhuckdev Interesting color.,21
101,0.0,Wed Sep 26 22:27:56 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@PlotBot5  Analyze: BBC,22
102,0.0,Wed Sep 26 22:25:59 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,@PlotBot5 Analyze: CNN,23
103,0.0,Wed Sep 26 04:15:59 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,Break down of tweet labels for CNN https://t.co/oHAZGVnqmX,24
104,0.0,Sat Sep 22 20:51:33 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,https://t.co/D5w1t53BU4,25
105,0.0,Fri Sep 21 02:01:22 +0000 2018,1.0,@CO2_Dispenser,0.0,0.0,Just setting up my Twitter. #myfirstTweet,26
